date,city_code,company,atliqo_revenue_crores,arpu,active_users_lakhs,unsubscribed_users_lakhs,,,,,,,,,,,,,,
1-Jan-22,400001,Atliqo,60.69,192,31.61,1.9,,,,,,,,,,,,,,
1-Jan-22,110001,Atliqo,42.71,175,24.41,1.31,,,,Revenue Before 5G BY City,,,,ActIve User Before 5G,,,,Unsubscribed User Before 5G,,
1-Jan-22,700001,Atliqo,36.91,175,21.09,1.25,,Average arpu is ,200.7416667,Mumbai,400001,244.4,,Mumbai,400001,125.34,,Mumbai,400001,9.58
1-Jan-22,560001,Atliqo,37.4,175,21.37,1.39,,Before 5G Revenue,1597.7,Delhi,110001,196.38,,Delhi,110001,108.17,,Delhi,110001,7.7
1-Jan-22,600001,Atliqo,30.8,203,15.17,1.12,,After 5G Revenue,1589.7,Kolkata,700001,192.55,,Kolkata,700001,104.31,,Kolkata,700001,6.93
1-Jan-22,500001,Atliqo,28.25,183,15.44,0.78,,Active User Before 5g,843.53,Bangalore,560001,168.67,,Bangalore,560001,96.54,,Bangalore,560001,5.71
1-Jan-22,411001,Atliqo,24.22,200,12.11,1.08,,Active User After 5g,773.7,Chennai,600001,150.13,,Chennai,600001,73.91,,Chennai,600001,5.17
1-Jan-22,380001,Atliqo,20.97,165,12.71,0.62,,Unsubscribed User Before 5G,56.33,Hyderabad,500001,118.63,,Hyderabad,500001,60.6,,Hyderabad,500001,3.86
1-Jan-22,302001,Atliqo,22.21,189,11.75,0.52,,Unsubscribed User After 5G,69.57,Pune,411001,129.64,,Pune,411001,64.51,,Pune,411001,4.34
1-Jan-22,226001,Atliqo,11.86,198,5.99,0.45,,,,Ahmedabad,380001,94.49,,Ahmedabad,380001,53.51,,Ahmedabad,380001,3.32
1-Jan-22,800008,Atliqo,14.59,188,7.76,0.39,,,,Jaipur,302001,70.09,,Jaipur,302001,36.14,,Jaipur,302001,2.23
1-Jan-22,641001,Atliqo,7.82,212,3.69,0.28,,,,Lucknow,226001,64.83,,Lucknow,226001,31.71,,Lucknow,226001,1.72
1-Jan-22,160017,Atliqo,6.35,185,3.43,0.17,,,,Patna,800008,48.74,,Patna,800008,25.45,,Patna,800008,1.71
1-Jan-22,122001,Atliqo,5.32,181,2.94,0.25,,,,Coimbatore,641001,45.67,,Coimbatore,641001,23.17,,Coimbatore,641001,1.55
1-Jan-22,492001,Atliqo,4.27,191,2.24,0.16,,,,Chandigarh,160017,30.68,,Chandigarh,160017,16.85,,Chandigarh,160017,1.03
1-Feb-22,400001,Atliqo,61.19,169,36.21,2.71,,,,Gurgaon,122001,27.12,,Gurgaon,122001,14.74,,Gurgaon,122001,0.91
1-Feb-22,110001,Atliqo,54.18,189,28.67,1.85,,,,Raipur,492001,15.68,,Raipur,492001,8.58,,Raipur,492001,0.57
